CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC,Erythrocyte_progenitors,Adipocytes,Cortical_neurons,Hepatocytes,Lung_cells,Pancreatic_beta_cells,Pancreatic_acinar_cells,Pancreatic_duct_cells,Vascular_endothelial_cells,Colon_epithelial_cells,Left_atrium,Bladder,Breast,Head_and_neck_larynx,Kidney,Prostate,Thyroid,Upper_GI,Uterus_cervix
chr19:1035094,0.9726,0.9666,0.5552,0.9674,0.5616,0.9708,0.9247,0.9717,0.9097,0.9717,0.9717,0.9683,0.9678,0.9568,0.9545,0.9590000000000001,0.9598,0.9694,0.9446,0.9601,0.9653,0.9641,0.9658,0.9723,0.9699
chr7:157827753,0.9562,0.9602,0.5913,0.9428,0.8727,0.9543,0.9816,0.9773,0.9576,0.8236,0.9519,0.95875,0.9709,0.9416,0.9413,0.9601,0.9743,0.9363,0.9649,0.9096,0.9723,0.9546,0.9689,0.9639,0.9694
chr17:78133452,0.9698,0.9596,0.5508,0.9328,0.6721,0.9578,0.9736,0.8735,0.9763,0.9483,0.976,0.970525,0.9607,0.9754,0.9409,0.982,0.8495,0.9461,0.9608,0.9585,0.9749,0.9740000000000001,0.9681,0.9694,0.9698
chr8:1791899,0.9618,0.9673,0.7097,0.9564,0.9551,0.9556,0.9821,0.8936,0.9719,0.9659,0.9668,0.976775,0.9512,0.9599,0.9382,0.9701,0.9620000000000001,0.9701,0.9647,0.9793,0.9823,0.9794,0.9713,0.9791,0.9757
chr8:1791893,0.9596,0.953,0.6642,0.9472,0.9387,0.9466,0.9852,0.8640000000000001,0.9624,0.9592,0.9561,0.9703,0.9525,0.9698,0.9132,0.9603,0.9549,0.9721,0.9568,0.9751,0.9813,0.9786,0.9653,0.9766,0.9734
chr14:99189339,0.9668,0.9594,0.0768,0.9381,0.1375,0.965,0.9737,0.9575,0.2786,0.943,0.9583,0.96915,0.9507,0.9703,0.9254,0.9598,0.9679,0.9212,0.8833,0.8441,0.9241,0.9333,0.9505,0.9303,0.9506
chr2:112182832,0.9713,0.8276,0.2777,0.9540000000000001,0.7242,0.9696,0.9897,0.9649,0.8029999999999999,0.9345,0.8841,0.8733,0.9638,0.9732,0.9332,0.9788,0.9794,0.9465,0.9687,0.8983,0.9147,0.9637,0.4209,0.9481,0.9598
chr17:82126678,0.9528,0.9436,0.0441,0.7723,0.0448,0.9411,0.9651,0.9411,0.8146,0.9504,0.9445,0.967575,0.9543,0.9541,0.8628,0.9561,0.9514,0.8254,0.8902,0.8384,0.9223,0.9,0.9014,0.8488,0.9081
chr17:82126695,0.8414,0.8108,0.1099,0.5770000000000001,0.1056,0.8144,0.8857,0.7317,0.6887,0.8267,0.7956,0.793175,0.7551,0.8077,0.7113,0.8266,0.7446,0.7249,0.6971,0.6609,0.8181,0.7801,0.7862,0.74,0.7689
chr7:157622846,0.9727,0.9740000000000001,0.7193,0.9658,0.6938,0.9735,0.9849,0.9766,0.9791,0.8946,0.9765,0.980825,0.9826,0.9801,0.9656,0.9735,0.9854,0.9695,0.9801,0.9838,0.9836,0.9823,0.9801,0.981,0.9777
chr8:143461316,0.9278,0.9056,0.1172,0.8846,0.267,0.9179,0.9353,0.8993,0.9199,0.9291,0.9297,0.923375,0.9402,0.9318,0.8642,0.851,0.9225,0.8841,0.9086,0.8603,0.9186,0.8936,0.9101,0.8452,0.9109
chr11:67438837,0.9681,0.7166,0.1768,0.7987,0.3189,0.9647,0.9898,0.912,0.9087,0.9823,0.9562,0.96815,0.9704,0.9786,0.8535,0.9802,0.9241,0.8266,0.8768,0.8273,0.9279,0.8863,0.8933,0.8363,0.8996
chr11:67438792,0.8661,0.6501,0.1666,0.5411,0.2484,0.8196,0.9007,0.8140000000000001,0.7242,0.8347,0.8385,0.816775,0.858,0.8743,0.7203,0.8914,0.7675,0.8002,0.8206,0.77,0.8933,0.7977,0.8625,0.8073,0.8174
chr22:49829925,0.8511,0.6284,0.5706,0.9429,0.838,0.9531,0.9825,0.9698,0.9582,0.9603,0.958,0.966975,0.9576,0.9639,0.938,0.9722,0.9782,0.9604,0.9594,0.9613,0.9659,0.9691,0.963,0.9512,0.9713
chr7:150477544,0.9701,0.9613,0.3762,0.9284,0.636,0.963,0.9490000000000001,0.8752,0.8898,0.8854,0.9375,0.90765,0.9357,0.9201,0.8746,0.9584,0.8320000000000001,0.9496,0.8928,0.9517,0.9381,0.9053,0.9283,0.9229,0.9192
chr1:9729107,0.9566,0.9392,0.1766,0.6964,0.257,0.943,0.9591,0.9522,0.6381,0.9108,0.9252,0.93855,0.9392,0.9435,0.8735,0.9298,0.9490000000000001,0.9302,0.9299,0.9072,0.9247,0.9017,0.9371,0.9067,0.9402
chr1:9729116,0.9413,0.9147,0.1183,0.5609,0.255,0.9172,0.9693,0.9184,0.5055,0.9247,0.9287,0.927825,0.9482,0.9578,0.8496,0.9528,0.9132,0.7836,0.8617,0.7873,0.8583,0.8002,0.8664,0.8054,0.8637
chr5:887304,0.9714,0.9704,0.7816,0.9659,0.8214,0.9681,0.9896,0.9815,0.9627,0.9652,0.9701,0.97125,0.9584,0.965,0.9398,0.9765,0.9852,0.9877,0.9813,0.9847,0.9834,0.9840000000000001,0.9813,0.9812,0.9759
chr1:167518058,0.9638,0.9614,0.0733,0.1419,0.0643,0.9522,0.9866,0.9527,0.9541,0.95,0.9502,0.95065,0.8884,0.9629,0.8652,0.9686,0.9421,0.8562,0.9262,0.8587,0.943,0.9211,0.9203,0.8771,0.9222
chr10:8331696,0.9247,0.9282,0.1337,0.3274,0.0762,0.9002,0.9490000000000001,0.9225,0.9238,0.9087,0.9368,0.945725,0.9295,0.9271,0.9113,0.9419,0.9499,0.9209,0.9261,0.9229999999999999,0.9231,0.94,0.9386,0.9282,0.9134
chr1:167518396,0.9724,0.9690000000000001,0.059000000000000004,0.1095,0.0601,0.963,0.9740000000000001,0.9102,0.9736,0.9523,0.9671,0.963775,0.9615,0.975,0.8712,0.9729,0.9332,0.8240000000000001,0.9006,0.8207,0.9183,0.8938,0.8892,0.8454,0.9008
chr9:128106595,0.9363,0.9129999999999999,0.192,0.7221,0.3353,0.9076,0.9734,0.9335,0.9136,0.9573,0.9585,0.896575,0.9272,0.9502,0.8799,0.5453,0.9664,0.9579,0.8543,0.9376,0.9617,0.9542,0.9477,0.763,0.9204
chr11:118304960,0.9004,0.8938,0.0744,0.6933,0.0662,0.8903,0.9365,0.8111,0.8674,0.7565,0.7008,0.76425,0.6931,0.86,0.7982,0.8864,0.7996,0.8346,0.8517,0.848,0.8656,0.8633,0.7958,0.7822,0.8649
chr11:118304916,0.9133,0.9124,0.0967,0.7709999999999999,0.0935,0.8972,0.8976,0.9152,0.9058,0.8866,0.9003,0.879425,0.8813,0.9163,0.8487,0.9143,0.9154,0.8684,0.9129999999999999,0.8924,0.9087,0.9129999999999999,0.9116,0.8785,0.9161
chr3:45943450,0.9125,0.8969,0.0779,0.5487,0.1888,0.9059999999999999,0.9441,0.8918,0.8737,0.9211,0.9124,0.901925,0.9199,0.9186,0.893,0.9294,0.9164,0.8559,0.9051,0.8805,0.9054,0.8976,0.8948,0.8757,0.8881
chr16:89101963,0.9425,0.9658,0.6747,0.9546,0.7966,0.9296,0.9779,0.971,0.9670000000000001,0.9712,0.9714,0.964775,0.9736,0.9737,0.9504,0.8397,0.9715,0.9434,0.9746,0.9651,0.9738,0.9702,0.9222,0.9561,0.9648
chr3:45943346,0.9554,0.9573,0.0541,0.429,0.0967,0.9504,0.9417,0.89,0.9351,0.9599,0.946,0.94065,0.9458,0.9441,0.8948,0.9566,0.9111,0.777,0.8591,0.8147,0.898,0.8835,0.8768,0.8078,0.8731
chr16:1526145,0.9686,0.9323,0.4164,0.9362,0.1845,0.9679,0.9694,0.9639,0.9577,0.9629,0.9588,0.971175,0.9733,0.9736,0.9574,0.9708,0.9695,0.5198,0.9514,0.9540000000000001,0.9633,0.8929,0.9641,0.9632,0.965
chr12:54982075,0.9192,0.8172,0.0827,0.8279,0.3658,0.9045,0.7858,0.9075,0.8885,0.8274,0.8996,0.90945,0.8943,0.8819,0.7044,0.907,0.8475,0.9091,0.8953,0.9136,0.8923,0.9189,0.9195,0.8727,0.9151
chr21:44293836,0.9732,0.9005,0.4336,0.8311,0.2654,0.9713,0.9890000000000001,0.9732,0.8949,0.9905,0.9732,0.98415,0.9640000000000001,0.9876,0.9566,0.9809,0.9816,0.8467,0.9162,0.7542,0.9633,0.9475,0.953,0.9166,0.919
chr21:44293821,0.9782,0.9167,0.6149,0.888,0.4574,0.9745,0.9891,0.9754,0.9107,0.9845,0.9758,0.98055,0.958,0.9854,0.9563,0.98,0.9818,0.9043,0.9291,0.812,0.9701,0.9589,0.9603,0.9375,0.9343
chr16:12079105,0.9353,0.9361,0.21899999999999997,0.4199,0.3754,0.9383,0.8789,0.938,0.941,0.9335,0.9382,0.943525,0.9472,0.9164,0.8938,0.8353,0.917,0.92,0.9235,0.9064,0.9142,0.9224,0.9183,0.9063,0.9051
chr8:53844572,0.9046,0.8673,0.3161,0.809,0.7869,0.8555,0.9183,0.8406,0.8933,0.8942,0.9109,0.91645,0.9073,0.9348,0.9112,0.9245,0.8967,0.8831,0.8808,0.8882,0.8991,0.9198,0.9144,0.882,0.9243
chr14:106200782,0.8941,0.9206,0.1501,0.8202,0.1271,0.9047,0.9502,0.9395,0.9372,0.7902,0.9025,0.905625,0.8751,0.9359999999999999,0.8758,0.9452,0.9458,0.831,0.8882,0.8651,0.92,0.8838,0.8927,0.8636,0.8988
chr17:80812555,0.938,0.9371,0.4168,0.9186,0.8378,0.919,0.9728,0.904,0.7379,0.8996,0.8953,0.893625,0.9112,0.8941,0.845,0.9159999999999999,0.8813,0.9478,0.929,0.9371,0.9433,0.9354,0.9234,0.9303,0.8914
chr13:114010940,0.9667,0.9572,0.6605,0.9454,0.7374,0.9609,0.971,0.9528,0.9562,0.9601,0.9616,0.952675,0.9541,0.9704,0.9455,0.9655,0.9639,0.8725,0.9587,0.9363,0.9609,0.9451,0.9591,0.9331,0.9489
chr3:187020582,0.9024,0.8566,0.2272,0.8838,0.5224,0.8878,0.8214,0.9103,0.8697,0.8904,0.8732,0.8816,0.8231,0.8873,0.8692,0.9095,0.8962,0.8927,0.9084,0.9066,0.8954,0.9114,0.8986,0.8678,0.9018
chr3:187020532,0.9068,0.7784,0.1984,0.8499,0.4598,0.8988,0.8895,0.8902,0.8798,0.8863,0.8967,0.868125,0.8782,0.9023,0.8626,0.9147,0.8901,0.8903,0.8967,0.8668,0.8827,0.8898,0.8952,0.8705,0.8984
chr3:187020582,0.9024,0.8566,0.2272,0.8838,0.5224,0.8878,0.8214,0.9103,0.8697,0.8904,0.8732,0.8816,0.8231,0.8873,0.8692,0.9095,0.8962,0.8927,0.9084,0.9066,0.8954,0.9114,0.8986,0.8678,0.9018
chr3:187020532,0.9068,0.7784,0.1984,0.8499,0.4598,0.8988,0.8895,0.8902,0.8798,0.8863,0.8967,0.868125,0.8782,0.9023,0.8626,0.9147,0.8901,0.8903,0.8967,0.8668,0.8827,0.8898,0.8952,0.8705,0.8984
chr6:31572221,0.9315,0.0545,0.0931,0.32299999999999995,0.1182,0.9079999999999999,0.9441,0.955,0.95,0.9177,0.9297,0.93985,0.9384,0.9471,0.8776,0.9248,0.9343,0.9378,0.9372,0.9461,0.9582,0.9557,0.953,0.9341,0.9589
chr6:31572249,0.9059,0.038,0.061,0.2812,0.0709,0.8983,0.9602,0.9492,0.9274,0.8812,0.9044,0.89315,0.8813,0.9312,0.85,0.9301,0.9596,0.9055,0.9353,0.9209,0.95,0.9326,0.935,0.9139,0.9357
chr6:31572237,0.9165,0.0292,0.075,0.2262,0.0852,0.8648,0.9489,0.9492,0.9451,0.9147,0.9097,0.90895,0.8893,0.9484,0.865,0.9299,0.9518,0.8905,0.9414,0.9158,0.9552,0.9317,0.93,0.9134,0.9386
chr6:31572209,0.9326,0.0146,0.0417,0.1266,0.0482,0.9151,0.9438,0.9728,0.9729,0.9504,0.9425,0.963925,0.9437,0.9664,0.8888,0.9671,0.9764,0.9258,0.9496,0.9303,0.9608,0.9497,0.9508,0.9334,0.9598
chr6:30492467,0.9221,0.8608,0.2399,0.7973,0.141,0.9337,0.9451,0.8839,0.9067,0.9451,0.9093,0.948425,0.9326,0.937,0.825,0.9503,0.8777,0.9128,0.888,0.9017,0.8590000000000001,0.9339,0.8891,0.8959999999999999,0.8943
chr12:55928883,0.9168,0.7383,0.0638,0.8688,0.0586,0.9183,0.9112,0.8894,0.8592,0.9224,0.8051,0.9167,0.914,0.9309999999999999,0.843,0.7972,0.9151,0.8328,0.7987,0.7927,0.8964,0.9163,0.9159999999999999,0.887,0.9038
chr8:29061304,0.8994,0.5875,0.1375,0.4006,0.1291,0.9221,0.9718,0.9309,0.9317,0.96,0.9359999999999999,0.9526,0.9420000000000001,0.9512,0.9072,0.9553,0.9376,0.8651,0.9181,0.8746,0.9177,0.9161,0.9128,0.8763,0.8494
chr5:134117789,0.9141,0.9184,0.34700000000000003,0.7766,0.4291,0.9108,0.9329,0.9335,0.8882,0.9248,0.9209999999999999,0.9209,0.9087,0.9155,0.9,0.9205,0.929,0.9106,0.8841,0.9154,0.9132,0.9132,0.9071,0.897,0.9229999999999999
chr12:122006715,0.6398,0.3525,0.0948,0.4798,0.0814,0.6776,0.8088,0.7897,0.7215,0.7398,0.7814,0.7889,0.6676,0.8707,0.7159,0.7961,0.7685,0.6896,0.7340000000000001,0.6782,0.7771,0.7465,0.7553,0.6617,0.7608
chr12:122006674,0.8826,0.3147,0.096,0.6384,0.0761,0.8848,0.9699,0.9388,0.8494,0.8575,0.9177,0.94985,0.9283,0.9468,0.8444,0.943,0.9461,0.8962,0.9239,0.9051,0.945,0.9357,0.9275,0.8955,0.9418
chr22:30940798,0.9064,0.9091,0.139,0.6139,0.2422,0.8741,0.4721,0.8499,0.945,0.9669,0.9465,0.957175,0.9628,0.9649,0.6878,0.9668,0.8662,0.9109,0.8932,0.8997,0.8891,0.932,0.9191,0.935,0.8959
chr17:76192520,0.9138,0.9014,0.3416,0.8673,0.5434,0.9147,0.8604,0.8986,0.8876,0.8694,0.8859,0.911325,0.8558,0.9077,0.8898,0.9131,0.897,0.9049,0.9193,0.9205,0.9145,0.9254,0.9262,0.885,0.9212
chr4:48134435,0.9066,0.9109,0.1177,0.0706,0.2621,0.8975,0.9263,0.9036,0.9091,0.9189,0.9058,0.91115,0.9019,0.9261,0.9018,0.9204,0.9278,0.8772,0.9129999999999999,0.8884,0.9119,0.9051,0.9044,0.8673,0.9142
chr6:31572221,0.9315,0.0545,0.0931,0.32299999999999995,0.1182,0.9079999999999999,0.9441,0.955,0.95,0.9177,0.9297,0.93985,0.9384,0.9471,0.8776,0.9248,0.9343,0.9378,0.9372,0.9461,0.9582,0.9557,0.953,0.9341,0.9589
chr6:31572249,0.9059,0.038,0.061,0.2812,0.0709,0.8983,0.9602,0.9492,0.9274,0.8812,0.9044,0.89315,0.8813,0.9312,0.85,0.9301,0.9596,0.9055,0.9353,0.9209,0.95,0.9326,0.935,0.9139,0.9357
chr6:31572237,0.9165,0.0292,0.075,0.2262,0.0852,0.8648,0.9489,0.9492,0.9451,0.9147,0.9097,0.90895,0.8893,0.9484,0.865,0.9299,0.9518,0.8905,0.9414,0.9158,0.9552,0.9317,0.93,0.9134,0.9386
chr6:31572209,0.9326,0.0146,0.0417,0.1266,0.0482,0.9151,0.9438,0.9728,0.9729,0.9504,0.9425,0.963925,0.9437,0.9664,0.8888,0.9671,0.9764,0.9258,0.9496,0.9303,0.9608,0.9497,0.9508,0.9334,0.9598
chr14:97874669,0.9202,0.9234,0.1972,0.9124,0.3058,0.929,0.8742,0.8883,0.8599,0.6313,0.909,0.91175,0.8508,0.8441,0.8898,0.9281,0.9036,0.8538,0.8843,0.8984,0.8994,0.8884,0.8914,0.8996,0.8976
chr14:99189256,0.9496,0.9475,0.0965,0.9281,0.1445,0.9442,0.9682,0.9359,0.2304,0.8052,0.9371,0.940875,0.8340000000000001,0.9525,0.8845,0.953,0.9671,0.9169,0.775,0.6976,0.7449,0.9128,0.9447,0.8969,0.9417
chr6:30492090,0.9309999999999999,0.8524,0.0973,0.8048,0.0946,0.9296,0.9401,0.7651,0.8915,0.9458,0.9411,0.92555,0.9344,0.9440000000000001,0.8767,0.8839,0.7872,0.8079999999999999,0.8233,0.7519,0.8408,0.8775,0.8654,0.8467,0.8404
chr1:116738211,0.9184,0.8240000000000001,0.43799999999999994,0.8996,0.6893,0.9045,0.927,0.9243,0.8888,0.9039,0.9135,0.908925,0.8971,0.9163,0.8912,0.917,0.9339,0.9158,0.9178,0.9103,0.9146,0.9164,0.9142,0.8871,0.9262
chr11:61066059,0.7825,0.8440000000000001,0.1369,0.8799,0.42100000000000004,0.7998,0.8693,0.8628,0.8938,0.85,0.8722,0.8792,0.8906,0.9021,0.8366,0.9031,0.8668,0.8521,0.8809,0.8646,0.8558,0.8841,0.8752,0.8641,0.8221
chr1:3033109,0.958,0.9339,0.3701,0.8623,0.3005,0.9617,0.9877,0.8564,0.9576,0.7094,0.9656,0.9768,0.9135,0.9805,0.8842,0.8286,0.9421,0.8546,0.8366,0.8574,0.9542,0.9207,0.9514,0.9215,0.9371
chr1:3033069,0.9082,0.8581,0.4142,0.8404,0.3774,0.9074,0.9706,0.7751,0.8954,0.5927,0.833,0.871225,0.716,0.8956,0.7728,0.5607,0.8763,0.8440000000000001,0.7177,0.7305,0.9225,0.8458,0.9181,0.8786,0.8683
chr11:118342615,0.897,0.9076,0.0752,0.862,0.0597,0.8797,0.9258,0.8439,0.8929,0.8794,0.9024,0.85755,0.861,0.9155,0.8282,0.9078,0.782,0.8261,0.8765,0.8403,0.8696,0.8621,0.8615,0.807,0.8026
chr18:79405150,0.925,0.7923,0.3886,0.8813,0.7864,0.9236,0.9498,0.924,0.8494,0.8107,0.9072,0.922925,0.9099,0.9243,0.6943,0.9025,0.9092,0.9058,0.9229,0.887,0.8894,0.9304,0.9102,0.9317,0.9261
chr21:44293836,0.9732,0.9005,0.4336,0.8311,0.2654,0.9713,0.9890000000000001,0.9732,0.8949,0.9905,0.9732,0.98415,0.9640000000000001,0.9876,0.9566,0.9809,0.9816,0.8467,0.9162,0.7542,0.9633,0.9475,0.953,0.9166,0.919
chr21:44293821,0.9782,0.9167,0.6149,0.888,0.4574,0.9745,0.9891,0.9754,0.9107,0.9845,0.9758,0.98055,0.958,0.9854,0.9563,0.98,0.9818,0.9043,0.9291,0.812,0.9701,0.9589,0.9603,0.9375,0.9343
chr13:46898195,0.9523,0.8082,0.5942,0.8907,0.5952,0.9576,0.9751,0.9816,0.7834,0.9534,0.9654,0.964925,0.7476,0.9558,0.9297,0.9612,0.9736,0.9674,0.9783,0.9801,0.9837,0.965,0.9765,0.9751,0.9777
chr13:46898214,0.9074,0.8152,0.6902,0.8412,0.6754,0.9018,0.9244,0.9171,0.7384,0.9147,0.9098,0.8791,0.8607,0.9243,0.888,0.9014,0.9142,0.8968,0.9241,0.9142,0.9216,0.8972,0.9142,0.8929,0.9221
chr13:46898208,0.8809,0.7282,0.5588,0.7882,0.5405,0.8736,0.938,0.8883,0.7290000000000001,0.8884,0.9025,0.874725,0.8061,0.9086,0.8596,0.8773,0.9113,0.8955,0.9125,0.9043,0.9142,0.8789,0.9122,0.8853,0.9187
chr13:46898225,0.9253,0.8883,0.78,0.9056,0.7931,0.9184,0.9516,0.9516,0.7762,0.9315,0.9256,0.9107,0.9197,0.9393,0.9179999999999999,0.9356,0.9379,0.9378,0.9399,0.9488,0.9366,0.9369,0.9379,0.9257,0.9462
chr10:132616342,0.8981,0.8708,0.1278,0.0802,0.0462,0.9153,0.7353,0.9054,0.6576,0.9127,0.8661,0.9129999999999999,0.9367,0.8972,0.8251,0.8935,0.8095,0.8439,0.8657,0.8582,0.8633,0.8809,0.8709,0.873,0.8639
chr10:132616365,0.9402,0.917,0.0809,0.0472,0.0305,0.9499,0.8471,0.9264,0.6626,0.9218,0.9211,0.926325,0.9372,0.9178,0.8962,0.9117,0.8505,0.9054,0.9069,0.9087,0.9231,0.9233,0.9221,0.9154,0.9083
chr12:24839322,0.9659,0.6134,0.3661,0.7782,0.45299999999999996,0.9687,0.9762,0.6885,0.9742,0.9732,0.9811,0.98175,0.9702,0.9829,0.8978,0.9797,0.9658,0.8716,0.7397,0.8284,0.9615,0.9398,0.9475,0.843,0.8909
chr1:27113972,0.9592,0.9644,0.6633,0.9519,0.5435,0.9288,0.9793,0.9451,0.7658,0.9639,0.9592,0.96485,0.9537,0.9629,0.9222,0.9627,0.9774,0.9748,0.9693,0.9802,0.9712,0.9815,0.9591,0.9765,0.975
chr6:26086357,0.8338,0.797,0.0965,0.2484,0.1755,0.8195,0.8606,0.8552,0.8661,0.8638,0.8437,0.839025,0.8802,0.8799,0.8378,0.7945,0.8548,0.8128,0.8692,0.8386,0.8395,0.6742,0.8687,0.8386,0.8621
chr6:26086343,0.8929,0.8658,0.1362,0.4182,0.2802,0.8816,0.8916,0.9034,0.8462,0.8758,0.8794,0.8883,0.882,0.8647,0.8648,0.8757,0.9034,0.8757,0.9035,0.9067,0.8952,0.8314,0.9046,0.8837,0.9097
chr6:111533363,0.8953,0.873,0.2702,0.7023,0.4305,0.8636,0.9222,0.8751,0.8737,0.9027,0.8897,0.887375,0.9014,0.8999,0.8751,0.8815,0.9216,0.8907,0.8996,0.8726,0.9032,0.8951,0.8926,0.8695,0.9044
chr1:1219473,0.953,0.8594,0.4346,0.8889,0.632,0.9526,0.9846,0.8322,0.955,0.9692,0.9342,0.970125,0.968,0.9756,0.8654,0.9682,0.8798,0.8306,0.8846,0.7934,0.9018,0.8832,0.8497,0.8146,0.9104
chr1:9729107,0.9566,0.9392,0.1766,0.6964,0.257,0.943,0.9591,0.9522,0.6381,0.9108,0.9252,0.93855,0.9392,0.9435,0.8735,0.9298,0.9490000000000001,0.9302,0.9299,0.9072,0.9247,0.9017,0.9371,0.9067,0.9402
chr1:9729116,0.9413,0.9147,0.1183,0.5609,0.255,0.9172,0.9693,0.9184,0.5055,0.9247,0.9287,0.927825,0.9482,0.9578,0.8496,0.9528,0.9132,0.7836,0.8617,0.7873,0.8583,0.8002,0.8664,0.8054,0.8637
chr12:2879904,0.8919,0.8878,0.4761,0.8752,0.7027,0.8926,0.9249,0.9307,0.887,0.9059,0.9008,0.90525,0.9158,0.9337,0.8929,0.9078,0.9362,0.9094,0.9258,0.8981,0.9203,0.9222,0.9256,0.9039,0.9309
chr14:22524063,0.8865,0.7379,0.2055,0.7432,0.2051,0.8851,0.9231,0.9178,0.8814,0.8346,0.8716,0.8446,0.8126,0.9168,0.892,0.9225,0.9402,0.8995,0.917,0.8854,0.9119,0.9007,0.9125,0.7965,0.9294
chr14:22558826,0.9704,0.9670000000000001,0.4836,0.2122,0.3344,0.9659,0.9576,0.9706,0.9267,0.9678,0.9593,0.975175,0.9798,0.9763,0.9540000000000001,0.9796,0.9584,0.909,0.9578,0.9303,0.9594,0.9605,0.9574,0.9487,0.9595
chr8:23250448,0.8823,0.8751,0.2078,0.8144,0.3919,0.8558,0.9517,0.8424,0.8616,0.8548,0.8653,0.846675,0.8636,0.8694,0.83,0.8781,0.893,0.8687,0.8927,0.8706,0.8969,0.8688,0.8653,0.848,0.8811
chr6:31572221,0.9315,0.0545,0.0931,0.32299999999999995,0.1182,0.9079999999999999,0.9441,0.955,0.95,0.9177,0.9297,0.93985,0.9384,0.9471,0.8776,0.9248,0.9343,0.9378,0.9372,0.9461,0.9582,0.9557,0.953,0.9341,0.9589
chr6:31572249,0.9059,0.038,0.061,0.2812,0.0709,0.8983,0.9602,0.9492,0.9274,0.8812,0.9044,0.89315,0.8813,0.9312,0.85,0.9301,0.9596,0.9055,0.9353,0.9209,0.95,0.9326,0.935,0.9139,0.9357
chr6:31572274,0.8246,0.0295,0.0588,0.1511,0.0792,0.7662,0.8299,0.8548,0.8738,0.742,0.8252,0.7313,0.7393,0.8724,0.7746,0.9044,0.8548,0.7358,0.8088,0.7498,0.8363,0.7529,0.7869,0.7233,0.8045
chr6:31572237,0.9165,0.0292,0.075,0.2262,0.0852,0.8648,0.9489,0.9492,0.9451,0.9147,0.9097,0.90895,0.8893,0.9484,0.865,0.9299,0.9518,0.8905,0.9414,0.9158,0.9552,0.9317,0.93,0.9134,0.9386
chr6:31572209,0.9326,0.0146,0.0417,0.1266,0.0482,0.9151,0.9438,0.9728,0.9729,0.9504,0.9425,0.963925,0.9437,0.9664,0.8888,0.9671,0.9764,0.9258,0.9496,0.9303,0.9608,0.9497,0.9508,0.9334,0.9598
chr6:31572663,0.9232,0.3011,0.1446,0.7691,0.1602,0.9129,0.9392,0.9362,0.9192,0.7852,0.9025,0.89725,0.8208,0.8717,0.8708,0.8975,0.9035,0.8821,0.9129,0.8926,0.9382,0.9235,0.9193,0.8699,0.9199
chr6:31572684,0.9446,0.1755,0.0811,0.6376,0.1124,0.9301,0.9816,0.9682,0.9516,0.7862,0.9158,0.8937,0.8483,0.9393,0.8029999999999999,0.9531,0.9396,0.7922,0.8742,0.8409,0.9165,0.8896,0.8851,0.7843,0.9053
chr6:31572679,0.8975,0.292,0.1762,0.6716,0.2121,0.8895,0.883,0.8505,0.8522,0.7923,0.8405,0.714975,0.8119,0.8637,0.7988,0.8478,0.8602,0.8003,0.8533,0.8196,0.8701,0.8465,0.8305,0.7867,0.8492
chr6:31572634,0.7389,0.2094,0.1641,0.4239,0.1754,0.6969,0.7379,0.6155,0.7088,0.4046,0.5212,0.404575,0.2918,0.5393,0.5766,0.5723,0.6234,0.5127,0.5581,0.5046,0.6242,0.5514,0.5755,0.4829,0.5734
chr6:31572221,0.9315,0.0545,0.0931,0.32299999999999995,0.1182,0.9079999999999999,0.9441,0.955,0.95,0.9177,0.9297,0.93985,0.9384,0.9471,0.8776,0.9248,0.9343,0.9378,0.9372,0.9461,0.9582,0.9557,0.953,0.9341,0.9589
chr6:31572249,0.9059,0.038,0.061,0.2812,0.0709,0.8983,0.9602,0.9492,0.9274,0.8812,0.9044,0.89315,0.8813,0.9312,0.85,0.9301,0.9596,0.9055,0.9353,0.9209,0.95,0.9326,0.935,0.9139,0.9357
chr6:31572274,0.8246,0.0295,0.0588,0.1511,0.0792,0.7662,0.8299,0.8548,0.8738,0.742,0.8252,0.7313,0.7393,0.8724,0.7746,0.9044,0.8548,0.7358,0.8088,0.7498,0.8363,0.7529,0.7869,0.7233,0.8045
chr6:31572237,0.9165,0.0292,0.075,0.2262,0.0852,0.8648,0.9489,0.9492,0.9451,0.9147,0.9097,0.90895,0.8893,0.9484,0.865,0.9299,0.9518,0.8905,0.9414,0.9158,0.9552,0.9317,0.93,0.9134,0.9386
chr6:31572209,0.9326,0.0146,0.0417,0.1266,0.0482,0.9151,0.9438,0.9728,0.9729,0.9504,0.9425,0.963925,0.9437,0.9664,0.8888,0.9671,0.9764,0.9258,0.9496,0.9303,0.9608,0.9497,0.9508,0.9334,0.9598
chr2:84908699,0.835,0.9293,0.5152,0.8732,0.6879,0.9279999999999999,0.9387,0.9059999999999999,0.8683,0.9262,0.89,0.937575,0.9264,0.9349,0.9039,0.9358,0.8927,0.9386,0.9135,0.9205,0.9221,0.9317,0.9384,0.9099,0.9378
chr15:100597771,0.9106,0.8648,0.3888,0.8735,0.6514,0.9047,0.8837,0.9038,0.8568,0.8817,0.8639,0.89955,0.8838,0.8706,0.8538,0.8916,0.9232,0.8584,0.8792,0.9259999999999999,0.9009,0.9081,0.9214,0.8919,0.9272
